caddy-webserver	caddy:latest	Up 29 minutes
netdata	netdata/netdata:latest	Up 31 minutes (healthy)
mailcowdockerized-watchdog-mailcow-1	ghcr.io/mailcow/watchdog:2.09	Up 5 hours
mailcowdockerized-acme-mailcow-1	ghcr.io/mailcow/acme:1.94	Up 5 hours
mailcowdockerized-nginx-mailcow-1	ghcr.io/mailcow/nginx:1.05	Up 5 hours
mailcowdockerized-ofelia-mailcow-1	mcuadros/ofelia:latest	Up 5 hours
mailcowdockerized-rspamd-mailcow-1	ghcr.io/mailcow/rspamd:2.4	Up 5 hours
mailcowdockerized-dovecot-mailcow-1	ghcr.io/mailcow/dovecot:2.3.21.1	Up 5 hours
mailcowdockerized-postfix-mailcow-1	ghcr.io/mailcow/postfix:3.7.11	Up 5 hours
mailcowdockerized-php-fpm-mailcow-1	ghcr.io/mailcow/phpfpm:8.2.29	Up 5 hours
mailcowdockerized-mysql-mailcow-1	mariadb:10.11	Up 5 hours
mailcowdockerized-postfix-tlspol-mailcow-1	ghcr.io/mailcow/postfix-tlspol:1.8.22	Up 5 hours
mailcowdockerized-clamd-mailcow-1	ghcr.io/mailcow/clamd:1.71	Up 5 hours (healthy)
mailcowdockerized-redis-mailcow-1	redis:7.4.6-alpine	Up 5 hours
mailcowdockerized-memcached-mailcow-1	memcached:alpine	Up 5 hours
mailcowdockerized-sogo-mailcow-1	ghcr.io/mailcow/sogo:5.12.4	Up 5 hours
mailcowdockerized-unbound-mailcow-1	ghcr.io/mailcow/unbound:1.24	Up 5 hours (healthy)
mailcowdockerized-dockerapi-mailcow-1	ghcr.io/mailcow/dockerapi:2.11	Up 5 hours
mailcowdockerized-olefy-mailcow-1	ghcr.io/mailcow/olefy:1.15	Up 5 hours
mailcowdockerized-netfilter-mailcow-1	ghcr.io/mailcow/netfilter:1.63	Up 5 hours
umami-umami-1	ghcr.io/umami-software/umami:postgresql-latest	Up 4 days
umami-db-1	postgres:16-alpine	Up 4 days
