DRIVER    VOLUME NAME
local     mailcow_clamd-db-vol-1
local     mailcow_crypt-vol-1
local     mailcow_mysql-socket-vol-1
local     mailcow_mysql-vol-1
local     mailcow_postfix-tlspol-vol-1
local     mailcow_postfix-vol-1
local     mailcow_redis-vol-1
local     mailcow_rspamd-vol-1
local     mailcow_sogo-userdata-backup-vol-1
local     mailcow_sogo-web-vol-1
local     mailcow_vmail-index-vol-1
local     mailcow_vmail-vol-1
local     mailcowdockerized_clamd-db-vol-1
local     mailcowdockerized_crypt-vol-1
local     mailcowdockerized_mysql-socket-vol-1
local     mailcowdockerized_mysql-vol-1
local     mailcowdockerized_postfix-tlspol-vol-1
local     mailcowdockerized_postfix-vol-1
local     mailcowdockerized_redis-vol-1
local     mailcowdockerized_rspamd-vol-1
local     mailcowdockerized_sogo-userdata-backup-vol-1
local     mailcowdockerized_sogo-web-vol-1
local     mailcowdockerized_vmail-index-vol-1
local     mailcowdockerized_vmail-vol-1
local     mailu_postgres_data
local     mailu_redis_data
local     netdata_netdatacache
local     netdata_netdataconfig
local     netdata_netdatalib
local     umami_umami_db
